Tanggal,Aktual,Prediksi
2015-07-01,8235.0,44220.243009327125
2015-08-01,34370.0,19573.343415339896
2015-09-01,4117.0,32141.769638128804
2015-10-01,8225.0,24221.229226554562
2015-11-01,5901.0,11644.404058392753
2015-12-01,14071.0,3449.58668601199
2016-01-01,9168.0,14195.085547572799
2016-02-01,3702.0,8926.78873220679
2016-03-01,2716.0,9546.312850146129
2016-04-01,3385.0,3171.5146413370285
2016-05-01,8718.0,2512.307369088549
2016-06-01,4820.0,15916.133426202201
2016-07-01,14319.0,3224.939683041058
2016-08-01,2401.0,14844.206599042742
2016-09-01,3861.0,-747.8088243690537
2016-10-01,3437.0,6697.721684266133
2016-11-01,2578.0,2826.3016514891806
2016-12-01,9115.0,1828.3555529724322
2017-01-01,7686.0,-1026.7669995386386
2017-02-01,2106.0,10210.36088585373
2017-03-01,2344.0,366.0461405230443
2017-04-01,4159.0,1046.050078595648
2017-05-01,4574.0,3065.812406058234
2017-06-01,5185.0,2724.9242352232095
2017-07-01,14121.0,6294.981190008245
2017-08-01,1250.0,24216.116563557694
2017-09-01,3044.0,3033.44999749784
2017-10-01,2314.0,4869.9528093714725
2017-11-01,1666.0,1284.0199996940598
2017-12-01,6507.0,920.9673093546021
2018-01-01,5058.0,-1693.9454311358095
2018-02-01,2234.0,7097.481772517974
2018-03-01,2350.0,3550.327045872577
2018-04-01,3515.0,2899.4255670493103
2018-05-01,1505.0,2974.9126583337065
2018-06-01,11045.0,1086.2371111043476
2018-07-01,3550.0,4470.628740675955
2018-08-01,2115.0,6812.762601710907
2018-09-01,2045.0,4549.984666004423
2018-10-01,2009.0,1412.8924142032229
2018-11-01,3094.0,764.4080868952678
2018-12-01,2751.0,2676.7732455242676
2019-01-01,6650.0,3060.687410842018
2019-02-01,2252.0,7280.51981589206
2019-03-01,2100.0,4414.333332175834
2019-04-01,4048.0,3195.399579883142
2019-05-01,182.0,3347.598015281217
2019-06-01,46788.0,1248.7064243433624
2019-07-01,2270.0,66028.74399413631
2019-08-01,1762.0,17029.571481443778
2019-09-01,1750.0,4509.850761260201
2019-10-01,1535.0,1259.6436394669709
2019-11-01,3225.0,49.45046460083022
2019-12-01,4050.0,-823.219937001226
2021-01-01,2555.0,4833.624956180257
2021-02-01,2597.0,1509.6744189164856
2021-03-01,1800.0,3187.2027634216975
2021-04-01,1600.0,1622.5640419666786
2021-05-01,1400.0,1168.1016816262686
2021-06-01,1025.0,1168.9863040747412
2021-07-01,932.25,807.4672779212176
2021-08-01,839.5,788.4386132646081
2021-09-01,746.75,657.1537172173873
2021-10-01,654.0,593.7278141699994
2021-11-01,564.0,576.7431300321298
2021-12-01,522.0,498.38846626107863
2022-01-01,4512.0,450.99228004514674
2022-02-01,4211.0,19087.845053414614
2022-03-01,4622.0,6931.230341405867
2022-04-01,4416.5,7231.296182225392
2022-05-01,4211.0,4684.384446524336
2022-06-01,4800.0,4321.737984439173
2022-07-01,4300.0,4676.697019155207
2022-08-01,3650.0,4390.552331912023
2022-09-01,3300.0,3870.6627170764427
2022-10-01,2400.0,3293.322497942592
2022-11-01,2650.0,2145.008731466697
2022-12-01,3450.0,2071.1444017154677
2023-01-01,425.0,3631.73361205297
2023-02-01,340.0,784.7562456447213
2023-03-01,347.0,868.4581503392593
2023-04-01,653.0,208.89086114194086
2023-05-01,450.0,349.7987370173347
2023-06-01,450.0,521.7108033033868
2023-07-01,395.0,522.5572599409951
2023-08-01,780.0,417.26394856796014
2023-09-01,800.0,586.7745996172303
2023-10-01,640.0,962.7846748448994
2023-11-01,647.0,834.2086108061147
2023-12-01,742.0,680.9368478987766
2024-01-01,2723.0,649.9962310468204
2024-02-01,1515.0,5351.38678710601
2024-03-01,200.0,2293.8498732817015
2024-04-01,1350.0,-18.868779237136962
2024-05-01,1312.0,963.5322230538562
2024-06-01,1451.0,549.5324220984107
2024-07-01,2350.0,1058.971051619964
2024-08-01,2200.0,2993.8024976669803
2024-09-01,2450.0,2568.546008499106
2024-10-01,2000.0,2951.3340695430306
2024-11-01,1875.0,2428.621807875775
2024-12-01,1892.0,1863.2921030044881
